no,stock,from,to,records
96,COPPERTECH,2019-08-05 10:30:00,2024-01-31 14:29:00,84608
97,CROWNCEMNT,2022-02-23 10:12:00,2024-01-31 14:23:00,7763
98,CRYSTALINS,2020-12-21 10:11:00,2024-01-31 14:28:00,74862
99,CVOPRL,2015-10-15 10:34:00,2024-01-31 14:29:00,191662
100,DACCADYE,2015-10-15 10:36:00,2024-01-31 14:22:00,108506
101,DAFODILCOM,2015-10-15 11:24:00,2024-01-31 14:28:00,86793
102,DBH,2015-10-15 10:46:00,2024-01-31 14:26:00,86323
103,DBH1STMF,2015-10-15 10:58:00,2024-01-31 14:28:00,35854
104,DBLPBOND,2023-02-05 13:35:00,2024-01-28 11:42:00,11
105,DELTALIFE,2015-10-15 10:52:00,2024-01-31 14:29:00,165082
106,DELTASPINN,2015-10-15 11:08:00,2024-01-31 14:23:00,115811
107,DESCO,2015-10-15 10:34:00,2024-01-31 14:17:00,70205
108,DESHBANDHU,2015-10-15 10:54:00,2024-01-31 14:29:00,156164
109,DGIC,2021-03-29 10:00:00,2024-01-31 14:27:00,67474
110,DHAKABANK,2015-10-15 10:48:00,2024-01-31 14:24:00,98996
111,DHAKAINS,2015-10-15 13:45:00,2024-01-31 14:24:00,100344
112,DOMINAGE,2020-12-02 10:10:00,2024-01-31 14:21:00,75087
113,DOREENPWR,2016-04-06 10:33:00,2024-01-31 14:23:00,152412
114,DSHGARME,2015-10-15 11:46:00,2024-01-31 14:19:00,110168
115,DSSL,2016-03-23 10:32:00,2024-01-31 14:22:00,191409
116,DULAMIACOT,2015-10-15 12:50:00,2024-01-31 14:23:00,28974
117,DUTCHBANGL,2015-10-15 11:12:00,2024-01-31 14:19:00,109335
118,EASTERNINS,2015-10-15 14:11:00,2024-01-31 14:29:00,106518
119,EASTLAND,2015-10-15 10:44:00,2024-01-31 14:21:00,103416
120,EASTRNLUB,2015-10-15 12:40:00,2024-01-31 14:19:00,130109
121,EBL,2015-10-15 11:24:00,2024-01-31 14:19:00,66080
122,EBL1STMF,2015-10-15 10:56:00,2024-01-31 14:24:00,38132
123,EBLNRBMF,2015-10-15 10:58:00,2024-01-31 14:25:00,38483
124,ECABLES,2015-10-15 12:50:00,2024-01-31 14:26:00,111675
125,EGEN,2021-02-23 10:25:00,2024-01-31 14:26:00,45507
126,EHL,2015-10-15 10:36:00,2024-01-31 14:27:00,187233
127,EIL,2020-08-24 10:00:00,2024-01-31 14:22:00,95644
128,EMERALDOIL,2015-10-15 10:42:00,2024-01-31 14:23:00,144681
129,ENVOYTEX,2015-10-15 10:40:00,2024-01-31 14:19:00,60669
130,EPGL,2021-01-19 10:06:00,2024-01-31 14:28:00,73085
131,ESQUIRENIT,2019-04-09 10:30:00,2024-01-31 14:29:00,74032
132,ETL,2016-07-17 10:33:00,2024-01-31 14:21:00,117172
133,EXIM1STMF,2015-10-21 12:07:00,2024-01-31 14:21:00,44050
134,EXIMBANK,2015-10-15 10:34:00,2024-01-31 14:20:00,153340
135,FAMILYTEX,2015-10-15 10:40:00,2024-01-31 14:28:00,117991
136,FARCHEM,2015-10-15 10:34:00,2024-01-31 14:23:00,165712
137,FAREASTFIN,2015-10-15 11:14:00,2024-01-31 14:18:00,54618
138,FAREASTLIF,2015-10-15 10:40:00,2024-01-31 14:24:00,103110
139,FASFIN,2015-10-15 10:36:00,2024-01-31 14:24:00,134950
140,FBFIF,2015-10-15 13:21:00,2024-01-31 14:21:00,75398
141,FEDERALINS,2015-10-15 10:56:00,2024-01-31 14:26:00,147465
142,FEKDIL,2015-10-15 10:34:00,2024-01-31 14:27:00,131938
143,FINEFOODS,2015-10-15 12:32:00,2024-01-31 14:28:00,167354
144,FIRSTFIN,2015-10-15 11:08:00,2024-01-31 13:57:00,34150
145,FIRSTSBANK,2015-10-15 10:42:00,2024-01-31 14:23:00,161307
146,FORTUNE,2016-10-20 10:32:00,2024-01-31 14:29:00,195991
147,FUWANGCER,2015-10-15 10:40:00,2024-01-31 14:27:00,166409
148,FUWANGFOOD,2015-10-15 10:40:00,2024-01-31 14:29:00,208982
149,GBBPOWER,2015-10-15 10:52:00,2024-01-31 14:26:00,143540
150,GEMINISEA,2015-10-15 11:08:00,2024-01-31 14:27:00,203416
151,GENEXIL,2019-02-06 10:30:00,2024-01-31 14:27:00,167941
152,GENNEXT,2015-10-15 10:42:00,2024-01-31 14:25:00,163067
153,GHAIL,2015-10-15 10:38:00,2024-01-31 14:27:00,146681
154,GHCL,2015-10-15 11:54:00,2024-01-31 14:26:00,53736
155,GIB,2022-11-16 10:00:00,2024-01-31 14:28:00,8046
156,GLDNJMF,2022-09-21 09:30:00,2024-01-31 14:24:00,5674
157,GLOBALINS,2015-10-15 11:18:00,2024-01-31 14:24:00,143269
158,GOLDENSON,2015-10-15 10:46:00,2024-01-31 14:24:00,122282
159,GP,2015-10-15 10:34:00,2024-01-31 14:06:00,196300
160,GPHISPAT,2015-10-15 10:34:00,2024-01-31 14:28:00,146579
161,GQBALLPEN,2015-10-15 11:00:00,2024-01-31 14:28:00,136444
162,GRAMEENS2,2015-10-15 11:00:00,2024-01-31 14:12:00,68407
163,GREENDELMF,2015-10-15 10:42:00,2024-01-31 14:22:00,45783
164,GREENDELT,2015-10-15 11:58:00,2024-01-31 14:29:00,74381
165,GSPFINANCE,2015-10-15 10:34:00,2024-01-31 14:21:00,154660
166,HAKKANIPUL,2015-10-15 11:12:00,2024-01-31 14:27:00,160338
167,HEIDELBCEM,2015-10-15 10:44:00,2024-01-31 14:22:00,85432
168,HFL,2015-10-15 10:42:00,2024-01-31 14:23:00,118856
169,HIMADRI,2022-09-27 09:26:00,2024-01-31 14:20:00,851
170,HRTEX,2015-10-15 12:08:00,2024-01-31 14:22:00,103820
171,HWAWELLTEX,2015-10-15 13:17:00,2024-01-31 14:15:00,38216
172,IBNSINA,2015-10-15 10:36:00,2024-01-31 14:21:00,94086
173,IBP,2018-10-18 10:30:00,2024-01-31 14:28:00,133562
174,ICB,2015-10-15 11:12:00,2024-01-31 14:19:00,119642
